Content,Emotion
到酒店办完入住前台就要求当场给好评，它们还不让提交要拍照什么的，我是因为没有网才没有当场评价。酒店的服务态度特别差，到了T2之后打电话问酒店怎么过去，声音很低，说什么也请不清楚，就听见个打车，打车过来花了34，我定了两天，第一天住完都不给打扫，而且房卡还消磁了，累了一天到房间门口发现房门开不开又拖着腿跑下去找前台，打前台电话想要点吃的不给送可以理解，但是语气特别差，特别不耐烦，住过很多酒店，也住过很多如家，真没见过这样的，气死人。,2
我可以说这家宾馆就是一个飞机场吗？外面是数架波音747.屋内就像在空中投入地面的炸弹，还伴随着阵阵机关枪扫射的声音！这样的地方你睡得着吗？空调设施太陈旧,2
整体不错，就是没有车接，不方便，机场到酒店坐出租车要38元有点贵。,2
位置太偏，前台接待没有一点服务意识，给房卡没写房号，到前台找她一句话都不说，我本身就是开宾馆的，掀开被子有一根长头发，若干短头发，明显没有换床单。再次找到总台，结果一名保安只给我送来了一床被子，真没想到，可恶至极。,2
一般化设施宝是很好空调声音太大了,2
酒店忽悠人说距离会展中心1.5公里，实际距离会展中心8公里多，光打的费40元（有发票），实在是太差了，太坑人了，,2
太小，设施旧，淋浴坏的,2
不怎么样，连澡都不想洗太脏了,2
靠近空调外挂机，吵死。不怎么通风。其它还可以。,2
晚上入住方便，其他一般般，不错,2
房间设施太差，服务也不太好,2
位置很偏，坐车很不方便！还有吃饭也很麻烦,2
装修不错，住的也舒适，就是离虹桥机场太远还没有公交车，酒店接机不到T1航站楼只到T2航站楼，太不方便了，以后不会再去住了！还有如家怎么与莫泰成一家了？两个店一个大门进去，办手续在如家，拿钥匙在莫泰，很是奇怪！,2
感觉很不好，空调太旧了老是像拖拉机一样吵了整整一晚，强上白灰都烂了，房间超多，对面敲房门以为是我们这边，吓人，下次不来了。,2
差，差，管理差，不能再入住了。,2
差，管理乱有点乱，是真正差。,2
什么都差，很差，特别差。,2
管理差，服务差，不能再入住。,2
住的地方比较偏，周围基本没有什么店。还有设施差得不行，空调老旧而且还不制冷，真是住的比较失望的一次。,2
在不太影响双方利益的情况下，酒店不好沟通协调，不如其他连锁酒店做得好！,2
如家里面算环境比较差的，设施也不是很好，晚上也没什么吃的,2
服务很差 真的很差 牛*的很,2
不爽，烂！前台服务很差！,2
以后再也不住这家破酒店了！早上八点半要走开发票的非要等到九点才行，耽误了行程！也不提前告知！在艺龙订的还不给发票！,2
房间很小，被子很厚，很难睡觉。,2
其他还行，办事效率有待提高，谢谢！,2
就一辆车，送客30分钟一班车，太少车了。为了航班，还是自己打车去机场。到机场打车40来元，太远了。住这家酒店就图方便，到后来还是不方便。设施不好，水龙头坏的，墙角发霉。,2
房间还算干净，但是靠近楼道，隔音差，很吵。而且房间超级小。,2
发小广告。。。要好好管理下得~,2
如家如家如家如家如家,2
就是晚上太吵了。隔音不太好。,2
玩乐，吃饭，交通出行极其不方便。,2
elong的客服还是不错的，换了这家酒店，设施一般,2
隔音效果太差了，一晚上被吵醒几次。房间还行，够大的了，卫生也行,2
房间外面很吵，房间就在大堂旁边，小得要命,2
一般，而且贵，没多大意思。,2
很不爽的一次经历，艺龙定了251的特惠房，到店办完手续才看到柜台价是220。真的很愤怒，办手续时你服务员提醒一下就可以了，一声不吭的收了我251.没有艺龙优惠只要220，这叫啥事啊？提醒一下我可以取消优惠的251啊。然后柜台价220。很是无语。。差的一踏。,2
没有wifi，前台服务差，价格还那么高，差评,2
看上去距离机场1.5公里。我走了25分钟。门口有车送机场私家车要20，出租车要30。同一栋楼里有如家和莫泰两家。这家满了，就让去住旁边一家。我就被住到了莫泰。房间很潮，外面声音很大挨着马路有汽车的声音，有飞机起飞的声音。想想虹桥的飞机起飞频率吧。赶早班机凑乎一晚吧。,2
房間設備有些老舊也有損壞，要注意下。,2
前台又收了一边钱，说是押金但是还没退给我,2
商务出差，本来想找个安静的，可是商务大床房，要不是内窗，要不是临街，声音不小。而且wifi一会就掉，也不知道什么原因。胜在价格真便宜,2
一般般吧！房间小，床也一般般,2
呵呵，不美好的入住。办理入住的小姑娘不好好办手续，已经预定了的，还说没房，本来告诉我付款后几点都行。但是到了说没房还让我们降标，让我们把商务大床换成标间还不退款。我们本身都是金卡会员，住过好多如家，和颐都没这样的事情。还不如直接来办入住呢。好不容易入住了，结果两间房还有一间是脏的。本来1.8米的大床变成了1.5米。真是糟糕透了。休假的经理打电话让我们体谅他们员工。让我们自己承担差价，不愿意让员工自己掏钱。也就是说我们容易她员工不容易呗，我们晚上十一点下飞机，到酒店十二点了，折腾到最后都一点半快两点了。最后就是你推推我推推，如家这次是让我们失望透了。本来住如家是看着他们的品牌住的，但是这样下来不但品牌没了，连起码的信誉也都败干净了。最后值班经理付给我们了差价。我们去前台找他们理论的时候，后面好几个入住的人都是，已经预定了但是没有房间，我们没入住的脏房间也要继续给别人办入住，真是让人无法理解。如家给人的感觉应该是让客人住的如家一般舒适，但是现在给我们的感觉就是糟糕透了。这一折腾下来，休息都快三点了。本来美好的上海之旅应该很高兴才对，现在整得我们身心疲惫。我们没有要求什么，只是想好好休息。,2
房间倒是还可以，就是服务不怎么好，我们晚上11点多的飞机到的上海，到了飞机场打的 的士说太近了不拉，走过去又要1个多小时，当时都12点多了，打电话问酒店能不能派车来接，或者帮我们叫俩车，大不了我们出车费，结果前台居然说他叫不到，真心无语了，如果不是因为交了担保，我肯定不会到哪里去住了，别的如家酒店都有车接，就这家没有车接，啥服务，建议晚上到上海的不要住这家店，真心的,2
空调不好使，来人对付一下，说要点半个小时才热，你听说过吗？用了一个小时还是谅风吹，太差了,2
酒店位置不太明显 本来飞机就晚点了 直接打的士到酒店都花了45 结果到店都凌晨12点多了 一些的人在等着办理入住 办理特别慢 各种问题 等办理完都1点钟了 结果还发现枕头上有头发。。。确实有待加强,2
不太好找 不建议到达虹桥机场或高铁站 想找最近住处的人来住  打的都找了一会 挺偏的 Wi-Fi也很慢 图片都看不了 订两间房隔的非常远 隔音效果很差！,2
晚上打前台电话没人接。。。。。。。,2
真的很坑，我们定的是大床房246块钱有窗的，他们因为没有房间就乱安排给我们一个小床房没窗的，上平台查了一下120多块，态度恶劣还不退给我们钱，说了一大堆话，我就是感觉没有大窗户我才定246这个的房间的，他们倒好，给了我们一个超级小的房间还是无窗的，哎，真的对这家酒店表示非常无奈，我们以为绝对不会再来 大家慎重啊！真的很坑,2
空调室外机太吵空调室外机太吵空调室外机太吵空调室外机太吵,2
楼下服务台只有一个人 住客一多根本安排不过来 我等了一个小时才住进去,2
房间小啊1121111111111,2
特惠房不好  靠近电梯口,2
**说反20的服务台说她不知道不反，去机场接送的车也没有要自己打的，预约车也预约不到，简直了！！！,2
卫生间翻新过的，卧室部分还是显得比较旧了，跟豪华的大厅有些不符，卫生还是挺好的。服务也不错，就是没有去机场的早上专车，按理说酒店都应该有的,2
一般般，前台爱理不理的。,2
房间比较小，不过价格便宜，适合单身出行经济人士？,2
晚上十一点45分到的虹桥机场，到了才发现，酒店在T2那，打车过去花了44大洋，司机还不是很愿意去，到酒店，大厅是至少2个酒店的大厅，如家的柜台只有一个人，入住算蛮快的，等了大概10分钟吧，进去房间，一看，卫生真的不怎么样，床单破了一大块，卫生间和房间的玻璃窗还有小强的尸体，不止一只，不知道是被熏死了，还是怎么样，算不想这么多，隔音效果不怎么样，连浴帽都没有，总之，不怎么样，也差不多只是这个价,2
电视坏的，给我修也没修好！空调外机声音很大！差评！,2
夜航班，临时住处 设施一般,2
有点旧，机场酒店都这样，没有车接送时不方便，需要打车，估计这距离出租车都不喜欢拉,2
地理位置不错，房间已满，住的莫态二楼，空调主机响了一晚上,2
可能因为出租车司机的原因，我们虹桥站下了车以后去酒店并不是很近，主要不满意的地方有两点，一是到了前台的无用等待，莫泰跟如家在一起，前台接待也没告诉清楚排哪队，让我调来调去，队伍调了三次，那时已经午夜12点了，对于一大早就要赶飞机的我，十分窝火，而且我是提前在如家订的标间，担保了的，居然在我办理之前，就发现我订的标间没有了，生意好，也不能把担保的房间卖出去吧，这首先就是非常不守信的行为，虽然后来给我在莫泰协调了一间标间，房间还可以，但是入住心理还是非常不开心，看起来是好不容易知道莫泰还有干净的标间，如果协调不到，是不是准备就给我们大床了，那预订还有什么意义！总之，就这点上，对于这家酒店很不满意。,2
酒店环境不错。前台服务太次。下单交完钱客服就打不通了，住过这么多酒店没见过这样的。服务员故意不接电话，真来气。下回出行不会考虑如家了。,2
感觉一般，房间不干净，空调坏了房间冷，卫生间毛巾浴巾不干净,2
酒店空调不制热晚上10点多给前台打电话派师傅过来查看给调房间 结果被调后的房间空调也不制热，给前台打电话是通的 但就是一直不接 下楼去前台等了半个小时半夜12点多了还没有解决 这家店是我住过最差的一家....果断差评！！！！！,2
因为有接、送机才订的，结果到了以后沒有送机了，酒店前台电话打了N遍也沒人接，只能自己打车去，以后不会再住如家了。,2
预订的时候特意打电话问有没有接送 告诉我一直到晚上十点都有 4号到达机场8点钟 被告知要自己打车去 接战车是早四点半到下午四点半结束了 要自己打车 到店后又被告知过年接战车从明天起暂停 初三再开始 直接疯掉 以前说的都是放屁呢嘛！,2
离虹桥机场有点远打车37块钱。晚上。就不要过去住了白天到的可以去，价格便宜,2
晚上机场有往酒店接人的，我们网上订的对方不送，要自己打车去。建议大家不要网上订了，出机场后找拉活的，可以给送过去。否则自己打车要40多，而且还不好打。,2
脏的一塌糊涂 根本不打扫,2
服务巨差，下午四点就停止接送，然后去机场只送T2，其它不送。真是奇葩，绝对不会再住第二次,2
没有洗发水，房间有点冷,2
周围环境太吵了，关键还不隔音，一大早就听到隔壁的***,2
隔音差，一点小小的声音都能听得一清二楚，就是隔音差，其他还行。,2
毛巾居然有别人的毛发,2
一般般吧！房间比较小、卫生一般,2
房间小，不隔音，不推荐,2
差劲，地上全是灰尘，洗手间沐浴露洗发水全部没有了，空调噪音跟拖拉机似的,2
离机场比标注的距离远多了，打车最低要三四十块钱，附近除了高架桥啥都没有，连个便利店都要走半天，一个楼是如家莫泰什么共用的，简餐不便宜而且东西少，不如住松江区，近的距离打车去机场也才25块钱。,2
其他都不错，就是太偏了，在公路边上，离地铁上也有一点距离。,2
在酒店购买的东西，付款后没有邮寄,2
服务不好，不方便，机场过去近，但打车绕,2
走廊里臭哄哄的，紧挨高架路，很吵，本来想做他们的班车去机场，他们一推二6??5??，不诚信。再不会去住,2
洗手间莫名其妙堵住了，水到处都是，水都漫到走廊了，很不好的一次入住体验,2
房间隔音不太好，接机服务4点以后就没有了,2
离机场近，但配套设备陈旧，各方面都比别的店差。,2
环境一般，隔音效果不太好。说好的接机服务居然没有，简直了！前台服务员态度很差，总之对酒店很差的印象,2
离机场近，没得选择，前台没有服务态度，爱住不住的态度，你来了就受着吧！,2
只能说，机场附近，凑活住住吧,2
如家，莫泰，傻傻分不清楚，定乐如家却让我住到莫泰去。而且申请晚上1点到。但酒店的人不认。还好我据理力争，我想问问你们艺龙和如家数据不同步么？差评!,2
这个如家酒店根本不能更名叫国家会展中心店。远着，无地铁,2
是我住过如家最差的快捷酒店，这里实际与莫泰属于同一间酒店 ，所谓特惠房、大床房、商务房全部一样，就是价格不一样，隔音、卫生差、床单斑迹、毛发都有，可能已经住了几批客都不换床单。但价格比莫泰贵近100元，前台服务已经有住客领教过，不必再说，完全与网上描述不符，有欺骗性。如你讲点卫生，建议不要入住,2
如家就是垃圾 房间小 空气差 霸王条款 乱宰人,2
太远了，在高架上饶，麻烦,2
性价比不高，房间没有图片上那么好，就这样了,2
前台态度差，凌晨十二点多到的时候说电脑有问题要我在旁边等一下，等了很久也不叫我，都等到有新客人来check in了，之后还是我自己去问才帮我办入住,2
环境一般。为了赶飞机才不得不,2
环境勉强，空间小，空调像拖拉机突突突～,2
床太小，床垫太硬，最要命的是空调不给力！,2
真心一般！晚上到的太晚了打算选一个离机场比较近的酒店！可惜与描述不符一点也不太近！打车就花了好几十呢！,2
凳子上还有头发打扫不是很干净 洗澡玻璃透明的 站在外面看到 洗澡水龙头也坏的,2
很干净，房间还算宽敞，价格不贵。就是交通不是很方便，坐地铁到了机场后还要转两趟公交车才能到，想打车的，问了很多的司机都说不知道在哪里。还有就是网上提供的电话17号当天一直打不通。,2
大雨中的我站着酒店200米远的地方无助的要求酒店来人接我一下被拒了，有点悲伤,2
服务很不好，电视根本不能看，见附图，所有台都这样，打前台电话没人接，打了七八个，下楼一看人在那，只是没接而已！跟前台反馈了之后前台用对讲机叫了个人来修，但是一直到晚上睡觉也没见有人来，相信第二天更没人来了，Wi-Fi信号也超级不好！无语了简直！,2
不推荐，服务差。。。。。。,2
Dp30+如家酒店确认出现错误，先按确认然后拒绝，这时候赞一下艺龙客服，已经解决了，艺龙服务很好，然后我交的保证金，在离店以后，如家向艺龙反馈也错误，说我未入住，赞一下艺龙客服，帮我解决了，但是说明这家酒店确认已经登记信息，包括对自己房型掌握不好,2
态度很差...貌似上海的快捷都这样，离机场也不近，价格便宜凑合住,2
还可以，交通方便，住的人多，现在展会也多，碰上展会就乱涨价，一个快捷酒店一晚就涨到700多，还说没房，真是乱收费,2
隔音效果太差，其他也一般般,2
超级垃圾  房子里没有信号,2
酒店房间基本没啥配套 按这个比例价格太高。WIFI上网基本和没有一样，挂QQ都掉线。垃圾,2
我住的680，窗户外面有空调压缩机和泵房，晚上睡觉就有噪音，早晨不到6点就有异响。,2
一条路好几个如家，最后才找到，打车花了100,2
位置很偏，旁边几乎没有便利店，更没有什么吃的，前台的服务态度也很差。。,2
订的如家，但是安排到莫泰！前台态度超差！莫泰依旧给我的感觉是迷宫一般！,2
垃圾得要死...离机场不止1.5公里。因为如家没有房间安排去莫泰168 前台的老女人服务态度差得一逼..我们凌晨入住的还是金卡会员问了可不可以延迟退房..结果说话老气人了..说话比老板还叼..这种员工真给公司砸招牌..建议以后不要来这地方！,2
靠近电梯的门很吵，隔音不是很好，别的客人因喊其他房间的客人把我吵醒,2
体验不好，房间小，不干净,2
艺龙上填写到店时间为27日凌晨00：00至6：00，我们凌晨俩点多到店，到前台有个所谓的女经理非说但是的时间是按26日算，真是哭笑不得，最后加钱住了间所谓的豪华大床，**大床，烂的要死！强烈建议不要住这家,2
脏乱差！………………………………,2
床很硬啊啊啊啊(〝▼皿▼),2
这家店环境极差，下水不通，楼层房间太多吧，网络都没有，行同虚设*,2
一般，离电梯太近，太吵。,2
简单了些，隔音效果差,2
1.环境差，整个洗漱的和洗澡的地方水都要满到房间了，打了一万个电话没人理会\n2.服务差，要加一套洗漱用品和一个枕头也是打前台电话，说安排，一个晚上没人送过来\n强烈建议不要来,2
房间还好 就一般的如家的样子 热水要放很久才有 最不好的是眼镜忘在宾馆 宾馆的人收拾了也不知道打电话说一声 打了无数个电话给宾馆都打不通！,2
春节17号出行临时告诉我们免费接送机场大巴停运 之前订时说有的 帮叫来的出租 到航站楼要50元 服务一般,2
还好。赞一个!，以后会常来住的。,2
东西丢在房间的话，是不通知的。,2
没去住、也不能退，所以也没办法推荐,2
比较差了 空调噪音大得很 吵得根本睡不着觉 不开又冷的要死 地面特别滑 穿着拖鞋地在门口摔了一跤,2
标准间非常适合三口之家居住！价位合适！,2
我订的房间被买了安排到另外一家酒店，太吵!一晚没睡好,2
有点像大宿舍，很吵、很不舒服,2
价格合理但地点偏僻.距离最近的地铁口14元的士费.,2
感觉非常差的一次入住，提前订的房确认好几次，结果到店说没房，只能到隔壁莫泰168同价房，看过莫泰房果断拒绝，在我坚持下又有房了。早餐品种少而且冰凉，总之不推荐。,2
很不错，卫生干净，值得推孝荐。,2
房间很大，离虹桥机场又近，真的不错。,2
一般般，附近没吃饭的地方，春节期间酒店的餐厅也关闭没的吃。。。,2
卫生一般，算是如家连锁比较次的，被罩上全是毛毛。。。预定时告知有免费的班车送机场结果入住后说春节期间没有班车。。。没有净水装置每天只给2瓶水如果是2个人不够喝要自己准备引用水。。。,2
呃。。一般般吧。。和想象的不太一样~~不过也还好啦~~小住一下没问题不能长住,2
房间太冷，空调噪音极大，床品不干净,2
只想说没住过这么烂的如家,2
不好，说话不算数，而且非常难找，不会再去，住了一天，第二天换了汗庭,2
没地吃饭，太偏了啊！,2
服务态度太差，差的要命，恶心,2
房间在1楼，窗户外刚好是空调外机集中区，不能开窗，否则很吵，空调感觉没什么用，开暖气根本暖不了，一个晚上睡的好冷，不知道什么原因，以前在别的如家住，空调暖气都很足。还有很人无语，为什么如家不阻止那些发传单的人进来，烦死了，一晚上一直往房间里扔各种提供**服务的名片，烦死了，这是酒店默认的吗？很无语-_-||,2
空调不好用房间太冷，穿羊毛裤睡得,2
差评！严重差评！到了等了半小时轮到我，结果说他们房间满了！我可是打了好几个电话确认的！火死了！又把我们介绍到边上的168，住完我爸妈说这酒店太差了，住的不舒服…,2
前台带眼镜的服务生笨的\uD83D\uDC37一样，13：35就告诉他我们要等14：30的免费巴士。结果当我们看到有和颐酒店字样巴士开走了。去问他如家的巴士什么时候走。他竟然告诉我，就是那辆，司机进来问了。我们就坐在大厅沙发上，根本没听到有人叫。他说他听到了，以为我们不走。天哪！明明告诉你我们要走的！太过分了！幸亏自己叫了滴滴打车挺快就到了。,2
太偏了，吃个饭找了十几分钟，房间设施也比较旧，卫生还行,2
厕所排水有问题 还是得打车到酒店 早上酒店既没有叫醒服务 也没有叫车去机场服务 懒洋洋的服务态度,2
设施简陋，主要是前台服务态度冷漠不热情。,2
房间很小，马桶坏了，空调也是坏的，噪音很大，不制热,2
这是我住过最烂的快捷酒店，空调很旧很响，换了个房间也是一样，整个楼层都是炒菜的油烟味，我讨厌油烟，感觉很不干净,2
中午差不多一点订的，要预付，结果预付了显示三点前必须到。白交了钱。,2
房间比较洁净，但隔音太差，外面汽车声音太大*,2
说好接机，司机拒载，骂骂咧咧，不让人上就开车，还骂旅客行李多，什么**态度！,2
实在是太偏了   周围什么都没有,2
+酒店的隔音不太好，房间wifi也不稳定*到虹桥机场一号航站楼打车10分钟*,2
不怎么样，接机服务都是骗人的，还不得打车自己去,2
能住，条件真的太一般，很阴森的感觉,2
不是很好，早上的车不保证每个人都有位置，而且车子只送T2航站楼,2
浴室水太小，而且比较吵，离机场不远，早上也有免费班车,2
房间装修的问道很重，而且马桶非常的不干净，除了离机场近以外别的真不怎么样，下次不会住了。,2
接送机服务不好，接的时候打电话司机不太愿意来，送的时候人多坐不下，门口都是黑车，酒店叫车叫的也是黑车。住的情况正常，如需接送机服务的朋友，不推荐该店。,2
一般一般一般一般一般,2
毛巾有点脏，那个是沐浴露、哪个是洗发水也不标一下，隔音效果不好，空调声音很大，窗户拴坏的，不过网络不错。,2
隔音效果差，影响休息，感觉不太好,2
我晚上12点多到机场。打电话给如家他们说现在没有接送了。完全坑爹啊。房间有点小离高架桥太近有点吵。,2
一般般般般般般般般般般,2
信用卡担保订的，下了飞机打电话问居然没房。无语了，就这服务怎么住。,2
用信用卡担保的保留到第二天，下了飞机打电话问居然没房了，简直是无语了，这样还有人住吗。,2
住的最差的如家，酒店非常偏，周围还很荒凉，没超市没饭店，前台实习眼镜男态度奇差，管理混乱晚上门缝下面各种名片，wifi连不了找前台人家不管。说是叫机场店，下了飞机还要做公交或打的，不如坐车去方便点的地方。,2
环境卫生可以，客房布置象迷宫一样，很难找到房间！\n‘,2
和颐酒店，莫泰168，如家高中低搭配，不推荐，房间设施陈旧，隔音不好，舒适性无从谈起,2
不好\n不好不好不好不好,2
到了上海火车站打电话酒店前台都不接电话，房间又矮又小，感觉非常压抑，隔音效果差。,2
11点后死活不保留订单……,2
好偏僻，离地铁出口好远，打车都难,2
退房时间不够通人情 人不舒服 要求延迟一小时等人来接 酒店不肯坚持要按时退房 这点不大满意,2
有股不好闻的味道，下次不会继续选择,2
住得不踏实 地方很小 虽然干净 但是没有安全感 隔音也不好,2
安静 舒服 价格实惠 交通方便 服务倒是一般般 一楼饭店不好吃,2
硬件条件还行，但服务实在太差了，接线员态度实在不敢恭维，办事效率低，差点耽误我赶飞机,2
房间太小，油漆味道重，早上的送机服务太差，只能坐十几个人，根本无法保障到达机场的时间！垃圾垃圾垃圾,2
早上5:15下去免費送機沒位子晚上8點過去沒有免費接機了住就還可以.,2
酒店离机场蛮近的，房间属于小巧干净型的，不过稍微有点吵*,2
比较不满意的一家如家，距离航站楼不近，的士过去有点绕路，去的晚了一个小时，房间被自动取消了，有点失望和惊讶，居然不和顾客联系一下，打个电话很难么？前台态度生硬，可能是因为快凌晨12点了，但互相给个笑容，你工作顺心，我旅途愉快不好么？空调声音很大，像拖拉机，有点失眠，房间里好多卡片，就更睡不着了,2
预定的是如家，结果去了，没有预定的房间了，转到隔壁的莫泰168了，房间太小了，憋屈的很，不知道有没有如家的大？反正一晚上没有睡好。办理入住和退房都慢的很，急人。,2
离机场近了打车都要被拒载，态度还不咋的,2
房间小，前台服务态度生硬，前台俩人在忙，保安在前台，说吧东西暂时放一下，保安都叫等前台，一把岁数还保安这点事都不能担当。淋浴水压小，房间不隔音。旁边还是如家的培训中心，以前对如家印象挺好，现在大失所望。再不会去了,2
房间小，价格贵。但是离机场很近，隔音什么的很差，总体来说不好。,2
设施差，比较老了。有待改善,2
我很奇怪，请问我提前预付的房费是打到酒店账户了对吗？那为什么我入住的时候又让我交了170元现金呢？而且告诉我原网上交的房费会自动退，但事实上是完全没有退呀，我相当于交了2份钱呀！生气！,2
 环境价位可以，但是艺龙的服务人员真心不咋地，让他沟通给我的结果是有外窗，而且有送机服务，结果不仅是内窗，而且不提供送机服务，门口的出租车还不打表*不带这样忽悠人的！！！,2
预定这里是看中了提供到虹桥一号航站楼的摆渡车，结果16号入住的时候被告知车子大修了，没法坐。第二天只能打车过去。房间比较小，设施一般。,2
还不错，就是离机场太近，很吵。建议稍微远点,2
有点难找，边上还有一家如家，距离2、3公里，的士会带错路的，,2
在上海这个价位也过得去。优点：里火车站近。缺点：环境确实不怎么样。,2
房间小，性价比低，房间有味道。交通不方便，没有吃饭的地方。,2
卫生环境都挺好的，就是外面太吵了，一晚上没睡好,2
我这个137订的，直接前台订的也不过150，但137的就是离高架特别近的所谓特价房，真心不值！不知道是艺龙的问题还是如家的问题！,2
 说是如家其实是莫太*这家如家是我住过最烂的一家，性价比超低*房间小，房间还有下水道的臭味*下次不会再来*,2
这次如家有点让我失望，淋浴房的门坏的，卫生间特小，房间里也闷,2
住的是大床，有窗房，结果窗外是一个两米宽的天井，直接可以看到对面房间里了。另最近如家和莫泰在装修，有点吵，可能要到5月底。,2
早上的接送车是先到先得，不一定有，态度不好,2
设施还算可以，不过离机场挺远的，不大方便，打的去要了我30。有去机场的专场，一个人5元，不过知道T1航站楼，去T2和火车站不方便，还好门口有公交到火车站，不然会转款。,2
房间较陈旧，离高架近，特别不隔音，影响睡眠的。,2
什么破酒店，电话打了半个多小时没人接。要不就是拨打的用户正忙！！,2
这个酒店空间很小，窗户不透气，热水很冷洗的感冒了，而且早餐很快就没有吃的了，建议不要去！,2
不推荐，环境不好，房间有异味，设备有写陈旧，床很硬，厕所很破,2
床单不是很好，是补过的了，对于这么个宾馆来说有失形象，卫生间内喷头和水龙头上的热水断断续续，让人用起来不是那么的爽快，望改进*,2
真心不怎么样，硬件设施差，洗澡蓬头小，服务员脸臭得像欠她几百万。被子也不舒服。要不是离机场近，打死不住这,2
地方太难找了，而且空间非常小。十分不隔音。,2
房间比较少，卫生有些做得不到位*比如厕所墙壁，还有空调上很多灰尘*,2
空调声音太大*吵得睡不着*卫生也不怎样*不过班车每小时一般*挺方便*,2
六楼的隔音太差了！温度也比其他楼层冷很多！,2
千万别选大床房，旁边就是空调，噪音极大，全部的大床房都是这情况！地段确实离飞机场一号航站楼近，但是二号航站楼较远*,2
真的不咋嘀，客房太老土啦！反正我是穿著衣服睡覺的。,2
就一般吧，房间小，排风扇声音特大，吵得睡不着，整体感觉也不好。,2
特价房，不过一股烟味，开窗睡了1晚还是，不推荐！,2
大厅很不错 就住的房间来说，房门太靠近床边，影响行动路线*,2
